iter	Logloss
0	0.378319008
1	0.2557895767
2	0.1899752365
3	0.135541393
4	0.1168890806
5	0.1072543188
6	0.1008918472
7	0.09291009749
8	0.09040728091
9	0.08657591846
10	0.08471305538
11	0.08287516875
12	0.08135459609
13	0.08013968202
14	0.07911182267
15	0.07761434781
16	0.07686565428
17	0.07635709463
18	0.0754890205
19	0.07480685156
20	0.07327381409
21	0.07230484787
22	0.07135361262
23	0.07056402117
24	0.07025270363
25	0.0694682519
26	0.06875160353
27	0.06791420575
28	0.06740458644
29	0.06641655954
30	0.06596990889
31	0.06553361042
32	0.0649582775
33	0.06431959385
34	0.06385139819
35	0.06347932303
36	0.06295420214
37	0.0627382642
38	0.06239041546
39	0.06169080467
40	0.06143540393
41	0.06104442421
42	0.06056236739
43	0.06037647043
44	0.05993395802
45	0.05944553528
46	0.05927017184
47	0.05894921617
48	0.0588304869
49	0.05849700241
50	0.05789659198
51	0.057673986
52	0.05747853039
53	0.05730081127
54	0.05693527448
55	0.05675918517
56	0.05648248628
57	0.05626423809
58	0.0560407243
59	0.05576731885
60	0.05557409652
61	0.05524440997
62	0.05490116857
63	0.05462558061
64	0.05441825359
65	0.05426851047
66	0.05413577968
67	0.05403209389
68	0.05376969044
69	0.05366250672
70	0.05343547319
71	0.053304053
72	0.05308139947
73	0.05290238392
74	0.0528329248
75	0.05254219143
76	0.05247343223
77	0.05234157853
78	0.05227851928
79	0.05214169175
80	0.05208898517
81	0.05193352493
82	0.05171981907
83	0.05150321963
84	0.05140682785
85	0.05130510453
86	0.05114229527
87	0.05104924793
88	0.05095720578
89	0.05089006298
90	0.05082342188
91	0.05068015871
92	0.05048935061
93	0.0503325109
94	0.050254448
95	0.05013988944
96	0.05000090762
97	0.04981652927
98	0.04960516396
99	0.04941760923
100	0.0493625278
101	0.04926306395
102	0.04918544661
103	0.04913500237
104	0.04896266233
105	0.04886670436
106	0.04881049955
107	0.04868991359
108	0.04853705836
109	0.04848007764
110	0.04836756083
111	0.04828101319
112	0.04812860349
113	0.04802732624
114	0.04796987302
115	0.04782270342
116	0.04774144534
117	0.04771276265
118	0.04748409174
119	0.04741794663
120	0.04728244845
121	0.04710013876
122	0.0470158548
123	0.04689004571
124	0.04674739116
125	0.04668591188
126	0.04658300989
127	0.04654933458
128	0.04645638099
129	0.04634004518
130	0.04627137842
131	0.04621589517
132	0.04606562349
133	0.04595891065
134	0.04585781528
135	0.04575228006
136	0.04565878503
137	0.04560391661
138	0.04549684318
