iter	Passed	Remaining
275	281355	738048
276	282276	736773
277	283128	735319
278	283978	733866
279	284782	732297
280	285597	730762
281	286427	729272
282	287234	727727
283	288015	726124
284	288877	724728
285	289741	723341
286	290593	721928
287	291379	720353
288	292193	718857
289	292916	717141
290	293690	715555
291	294496	714052
292	295340	712647
293	296333	711604
294	297205	710270
295	298079	708945
296	298861	707405
297	299641	705866
298	300522	704569
299	301304	703042
300	302202	701792
301	302940	700172
302	303652	698500
303	304409	696936
304	305173	695394
305	305905	693785
306	306675	692266
307	307426	690711
308	308222	689261
309	308995	687763
310	309839	686429
311	310564	684835
312	311420	683533
313	312230	682133
314	313024	680704
315	313883	679418
316	314801	678262
317	315601	676856
318	316370	675385
319	317201	674053
320	318066	672794
321	318836	671339
322	319660	670000
323	320468	668632
324	321269	667251
325	322204	666152
326	322922	664608
327	323735	663262
328	324606	662038
329	325392	660645
330	326155	659208
331	327025	657991
332	327829	656642
333	328560	655153
334	329368	653821
335	330067	652276
336	330838	650877
337	331553	649374
338	332275	647888
339	333096	646599
340	333918	645315
341	334708	643971
342	335509	642652
343	336264	641248
344	336948	639713
345	337717	638344
346	338473	636954
347	339281	635665
348	340039	634285
349	340800	632915
350	341508	631449
351	342313	630167
352	343038	628741
353	343936	627635
354	344733	626347
355	345626	625234
356	346485	624062
357	347240	622705
358	347967	621301
359	348780	620054
360	349650	618911
361	350481	617700
362	351236	616356
363	351964	614971
364	352726	613647
365	353540	612416
366	354346	611176
367	355084	609819
368	355867	608543
369	356651	607271
370	357421	605979
371	358181	604672
372	358996	603460
373	359799	602231
374	360519	600865
375	361248	599519
376	361956	598140
377	362703	596830
378	363570	595718
379	364365	594490
380	365183	593304
381	365972	592071
382	366699	590741
383	367426	589413
384	368209	588179
385	368973	586916
386	369878	585879
387	370607	584566
388	371377	583319
389	372144	582071
390	372997	580960
391	373756	579703
392	374598	578578
393	375402	577395
394	376213	576226
395	377088	575154
396	377858	573926
397	378625	572694
398	379348	571399
399	380162	570244
400	380877	568941
401	381706	567812
402	382450	566558
403	383205	565322
404	384093	564285
405	384855	563064
406	385647	561889
407	386322	560545
408	387128	559396
409	387958	558281
410	388743	557103
411	389475	555853
412	390320	554765
413	391154	553662
414	391915	552459
415	392684	551268
416	393546	550209
417	394305	549009
418	395020	547748
419	395819	546608
420	396552	545377
421	397290	544156
422	398050	542966
423	398718	541655
424	399517	540523
425	400256	539312
426	400991	538098
427	401690	536838
428	402528	535766
429	403370	534700
430	404169	533578
431	404971	532462
432	405697	531248
433	406484	530115
434	407244	528949
435	407976	527749
436	408771	526631
437	409546	525491
438	410304	524329
439	411003	523095
440	411656	521805
441	412321	520532
442	412998	519278
443	413617	517954
444	414245	516642
445	414911	515383
446	415631	514192
447	416356	513010
448	416791	511474
449	417799	510643
450	418511	509452
451	419542	508648
452	420213	507410
453	420909	506203
454	421679	505089
455	422329	503831
456	423028	502635
457	423628	501324
458	424195	499977
459	424729	498595
460	425258	497210
461	425805	495851
462	426358	494501
463	426963	493216
464	427521	491879
465	428073	490538
466	428608	489182
467	429152	487839
468	429710	486516
469	430229	485152
470	430817	483869
471	431303	482475
472	431826	481125
473	432358	479790
474	432910	478479
475	433437	477145
476	433992	475844
477	434549	474549
478	435068	473216
479	435589	471888
480	436140	470597
481	436687	469303
482	437306	468089
483	437920	466873
484	438511	465636
485	439091	464388
486	439663	463136
487	440179	461827
488	440791	460622
489	441314	459327
490	441914	458115
491	442475	456864
492	443059	455641
493	443585	454361
494	444121	453093
495	444663	451835
496	445178	450552
497	445700	449280
498	446249	448037
499	446815	446815
500	447354	445568
501	447900	444331
502	448428	443079
503	448955	441829
504	449523	440621
505	450129	439454
506	450673	438229
507	451217	437005
508	451813	435835
509	452324	434585
510	452921	433421
511	453482	432225
512	454038	431026
513	454560	429798
514	455094	428584
515	455665	427407
516	456190	426189
517	456730	424988
518	457279	423798
519	457829	422611
520	458338	421390
521	458894	420213
522	459429	419021
523	459987	417851
524	460497	416640
525	461054	415474
526	461649	414346
527	462209	413187
528	462772	412033
529	463414	410952
530	463981	409806
531	464502	408622
532	465090	407499
533	465611	406320
534	466192	405195
535	466770	404070
536	467358	402955
537	467877	401783
538	468437	400648
539	468989	399509
540	469575	398401
541	470140	397276
542	470687	396140
543	471262	395028
544	471841	393923
545	472409	392809
546	472976	391696
547	473592	390627
548	474141	389503
549	474724	388411
550	475316	387327
551	475883	386224
552	476465	385135
553	477066	384064
554	477585	382928
555	478173	381851
556	478757	380771
557	479336	379689
558	479909	378604
559	480455	377500
560	480999	376396
561	481531	375285
562	482112	374215
563	482693	373145
564	483237	372049
565	483809	370977
566	484389	369913
567	484930	368820
568	485488	367742
569	486050	366669
570	486591	365582
571	487213	364558
572	487839	363538
573	488422	362488
574	488996	361432
575	489576	360382
576	490224	359384
577	490875	358390
578	491499	357377
579	491998	356274
580	492494	355172
581	492986	354069
582	493469	352962
583	493917	351831
584	494374	350709
585	494869	349617
586	495291	348475
587	495724	347344
588	496188	346236
589	496642	345124
590	497116	344028
591	497583	342929
592	498083	341854
593	498607	340799
594	499137	339749
595	499640	338682
596	500207	337661
597	500685	336581
598	501268	335573
599	501673	334448
600	502103	333343
601	502496	332215
602	502901	331097
603	503288	329970
604	503673	328844
605	504058	327720
606	504438	326596
607	504821	325477
608	505229	324375
609	505622	323266
610	506031	322170
611	506429	321069
612	506844	319981
613	507210	318865
614	507609	317771
615	508027	316692
616	508419	315599
617	508803	314502
618	509187	313409
619	509534	312295
620	510017	311266
621	510335	310139
622	510905	309167
623	511231	308049
624	511540	306924
625	511872	305815
626	512185	304697
627	512485	303574
628	512811	302468
629	513111	301351
630	513418	300240
631	513719	299127
632	514004	298008
633	514291	296893
634	514584	295784
635	514913	294698
636	515218	293601
637	515527	292509
638	515852	291428
639	516162	290341
640	516448	289243
641	516757	288160
642	517077	287086
643	517390	286010
644	517678	284923
645	517987	283850
646	518285	282774
647	518581	281698
648	518872	280622
649	519170	279553
650	519474	278489
651	519789	277433
652	520099	276377
653	520403	275320
654	520685	274253
655	521004	273209
656	521312	272161
657	521617	271114
658	521940	270078
659	522254	269039
660	522548	267993
661	522841	266949
662	523140	265910
663	523434	264870
664	523748	263843
665	524063	262818
666	524361	261787
667	524667	260763
668	524979	259743
669	525297	258728
670	525607	257712
671	525929	256703
672	526230	255687
673	526529	254671
674	526816	253652
675	527135	252650
676	527413	251631
677	527717	250627
678	528021	249624
679	528311	248617
680	528617	247619
681	528929	246626
682	529200	245617
683	529523	244633
684	529803	243632
685	530106	242643
686	530400	241652
687	530694	240663
688	530994	239679
689	531286	238693
690	531578	237710
691	531878	236732
692	532186	235759
693	532492	234787
694	532785	233812
695	533077	232838
696	533385	231873
697	533697	230912
698	534000	229948
699	534313	228991
700	534636	228040
701	534946	227085
702	535256	226132
703	535552	225175
704	535861	224225
705	536176	223280
706	536471	222328
707	536769	221379
708	537052	220426
709	537351	219481
710	537662	218543
711	537997	217616
712	538321	216687
713	538626	215752
714	538938	214821
715	539264	213898
716	539592	212977
717	539906	212052
718	540194	211119
719	540480	210186
720	540659	209214
721	540835	208243
722	541241	207363
723	541397	206389
724	541654	205455
725	542249	204650
726	542431	203691
727	542590	202725
728	542749	201762
729	542916	200804
730	543075	199846
731	543234	198889
732	543383	197931
733	543533	196975
734	543679	196020
735	543830	195069
736	543977	194119
737	544115	193168
738	544254	192219
739	544394	191273
740	544542	190332
741	544687	189392
742	544832	188454
743	544976	187518
744	545118	186584
745	545259	185651
746	545400	184720
747	545541	183792
748	545687	182867
749	545828	181942
750	545968	181020
751	546112	180101
752	546256	179183
753	546399	178268
754	546539	177354
755	546680	176441
756	546823	175532
757	546965	174624
758	547107	173719
759	547250	172816
760	547399	171916
761	547543	171017
762	547687	170120
763	547833	169226
764	547977	168332
765	548121	167441
766	548260	166551
767	548398	165661
768	548540	164776
769	548687	163893
770	548844	163015
771	548996	162138
772	549150	161264
773	549300	160390
774	549439	159514
775	549581	158642
776	549720	157770
777	549855	156899
778	549991	156030
779	550125	155163
780	550260	154298
781	550393	153434
782	550526	152572
783	550659	151712
784	550794	150854
785	550927	149998
786	551063	149144
787	551195	148291
788	551328	147440
789	551458	146590
790	551592	145743
791	551726	144897
792	551860	144054
793	551993	143212
794	552129	142372
795	552263	141534
796	552399	140698
797	552535	139864
798	552667	139031
799	552800	138200
800	552937	137371
801	553074	136544
802	553209	135718
803	553343	134894
804	553478	134072
805	553609	133251
806	553739	132430
807	553871	131612
808	554002	130796
809	554137	129982
810	554272	129170
811	554407	128360
812	554540	127551
813	554673	126743
814	554801	125936
815	554935	125132
816	555069	124330
817	555204	123529
818	555340	122731
819	555474	121933
820	555606	121137
821	555740	120342
822	555872	119549
823	556005	118758
824	556142	117969
825	556278	117182
826	556411	116395
827	556545	115610
828	556678	114827
829	556814	114046
830	556949	113266
831	557086	112488
832	557219	111711
833	557354	110936
834	557488	110162
835	557635	109392
836	557789	108625
837	557937	107859
838	558090	107094
839	558238	106331
840	558393	105570
841	558544	104810
842	558694	104051
843	558850	103294
844	559004	102539
845	559164	101786
846	559315	101033
847	559473	100283
848	559640	99535
849	559797	98787
850	559953	98041
851	560124	97298
852	560285	96555
853	560441	95813
854	560608	95074
855	560761	94333
856	560908	93593
857	561055	92855
858	561204	92118
859	561353	91383
860	561502	90649
861	561651	89916
862	561805	89185
863	561950	88455
864	562104	87727
865	562260	87000
866	562415	86276
867	562575	85552
868	562736	84831
869	562900	84111
870	563064	83393
871	563224	82675
872	563386	81958
873	563543	81243
874	563703	80529
875	563861	79815
876	564023	79104
877	564181	78394
878	564334	77684
879	564487	76975
880	564639	76268
881	564794	75562
882	564981	74861
883	565132	74157
884	565286	73455
885	565441	72754
886	565601	72055
887	565756	71356
888	565908	70659
889	566063	69962
890	566212	69267
891	566363	68573
892	566513	67880
893	566666	67188
894	566818	66498
895	566971	65809
896	567121	65120
897	567276	64434
898	567426	63748
899	567581	63064
900	567729	62380
901	567888	61699
902	568041	61018
903	568195	60339
904	568345	59660
905	568493	58982
906	568631	58305
907	568767	57628
908	568911	56953
909	569051	56279
910	569187	55606
911	569328	54935
912	569464	54264
913	569596	53594
914	569731	52925
915	569865	52258
916	569992	51591
917	570119	50925
918	570242	50260
919	570380	49598
920	570503	48935
921	570627	48274
922	570760	47614
923	570888	46956
924	571013	46298
925	571132	45641
926	571253	44985
927	571375	44330
928	571496	43677
929	571619	43025
930	571740	42373
931	571861	41723
932	571991	41075
933	572120	40428
934	572245	39781
935	572369	39136
936	572493	38492
937	572616	37848
938	572737	37206
939	572859	36565
940	572987	35925
941	573113	35287
942	573244	34649
943	573370	34013
944	573494	33377
945	573617	32743
946	573740	32110
947	573868	31478
948	573993	30846
949	574117	30216
950	574248	29587
951	574371	28959
952	574493	28332
953	574616	27706
954	574741	27082
955	574871	26458
956	574994	25835
957	575118	25213
958	575242	24593
959	575367	23973
960	575490	23354
961	575613	22737
962	575741	22120
963	575864	21505
964	575989	20890
965	576114	20277
966	576238	19664
967	576362	19053
968	576486	18442
969	576608	17833
970	576731	17224
971	576855	16617
972	576980	16010
973	577102	15405
974	577228	14800
975	577354	14197
976	577477	13594
977	577599	12993
978	577721	12392
979	577845	11792
980	577969	11194
981	578091	10596
982	578217	9999
983	578339	9403
984	578461	8809
985	578584	8215
986	578705	7622
987	578828	7030
988	578957	6439
989	579081	5849
990	579204	5260
991	579325	4671
992	579447	4084
993	579569	3498
994	579692	2913
995	579816	2328
996	579942	1745
997	580065	1162
998	580187	580
999	580310	0
	3376
996	841044	2530
997	841360	1686
998	841689	842
999	842006	0
06	2408
997	800810	1604
998	801125	801
999	801407	0
